zip,median_income,housing_units,owner_pct,population,city,lat,lon,solrad_annual,solrad_source,install_count,median_system_kw,median_cost_per_watt,pct_third_party,latest_install_year,adoption_rate,electricity_rate,nem_type,nem_export_pct
91604,132494,15578,0.4080112979843369,32073,Studio City,34.143,-118.3913,6.209980782605121,ridge_interpolated,309,7.2,4.975,0.4077669902912621,2019.0,19.8357,0.3029,NEM3,0.2
91605,61031,17252,0.36789937398562483,51654,North Hollywood,34.2057,-118.4001,6.214489680171474,ridge_interpolated,461,5.232,4.9,0.6724511930585684,2019.0,26.7215,0.3029,NEM3,0.2
91606,64976,16392,0.3174719375305027,43552,North Hollywood,34.1872,-118.3865,6.215152083905546,ridge_interpolated,284,4.77,4.9,0.5211267605633803,2019.0,17.3255,0.3029,NEM3,0.2
91607,82995,14361,0.2950351646821252,30734,Valley Village,34.1672,-118.3989,6.210981332170406,ridge_interpolated,253,6.625,4.904411764705882,0.4189723320158103,2019.0,17.6172,0.3029,NEM3,0.2
91608,56898,41,0.0,56,Universal City,34.1383,-118.3528,6.216452112041094,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91701,111745,13457,0.7637660697035,39323,Alta Loma,34.1376,-117.5999,6.350024068697288,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91702,82382,17620,0.5625993189557321,62196,Azusa,34.1248,-117.9031,6.295450878064817,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91706,76348,18783,0.5826012883990843,72495,Baldwin Park,34.0964,-117.9682,6.281192826566984,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91708,102150,5219,0.4336079708756467,15908,Chino,33.954,-117.6404,6.325518269222747,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91709,117603,25989,0.6836353842010081,78341,Chino Hills,33.9797,-117.7308,6.312023212408666,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91710,98099,24300,0.6431275720164609,81466,Chino,34.0125,-117.6844,6.323435736225334,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91711,115079,13493,0.6250648484399318,37542,Claremont,34.1092,-117.7183,6.326626073978573,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91722,95157,10449,0.6464733467317446,34470,Covina,34.0972,-117.9065,6.292229732288123,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91723,82018,6407,0.37380989542687687,17964,Covina,34.086,-117.8843,6.295098368128737,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91724,96720,9378,0.6668799317551717,28575,Covina,34.0938,-117.856,6.300858641034433,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91730,84850,25932,0.4668363412000617,71040,Rancho Cucamonga,34.107,-117.5941,6.348241465972133,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91731,57047,8835,0.3232597623089983,28201,El Monte,34.0791,-118.0371,6.2672446431996205,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91732,62047,16011,0.4232090437823996,58888,El Monte,34.0705,-118.0149,6.2703679066569675,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91733,63883,11246,0.4223723990752267,42953,South El Monte,34.0557,-118.0444,6.263650605537163,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91737,112857,8262,0.6775599128540305,23108,Alta Loma,34.1449,-117.5793,6.354289090306625,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91739,138079,12190,0.6940935192780968,41319,Rancho Cucamonga,34.1705,-117.5182,6.36724450609617,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91740,96433,8610,0.6363530778164924,27131,Glendora,34.1287,-117.8552,6.304294171263963,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91741,117252,9155,0.6801747678864009,26052,Glendora,34.1537,-117.8437,6.3086544924548,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91744,86290,19117,0.6635455353873516,79380,La Puente,34.0289,-117.9373,6.280133834499082,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91745,101427,17172,0.7203004891684137,55489,Hacienda Heights,33.9977,-117.9652,6.272060602179919,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91746,83634,7389,0.7243199350385708,29429,La Puente,34.0443,-117.9862,6.272924804006965,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91748,83610,14255,0.6163451420554191,43851,Rowland Heights,33.9818,-117.8969,6.282674088701515,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91750,103774,12793,0.6595794575158289,33436,La Verne,34.1159,-117.7708,6.317999565354074,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91752,108779,10092,0.5876932223543401,37173,Mira Loma,33.9938,-117.5236,6.349994730813811,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91754,83490,12639,0.5139647123981328,33937,Monterey Park,34.0534,-118.1271,6.248617940798709,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91755,70459,9061,0.4198212117867785,26418,Monterey Park,34.048,-118.115,6.250251213473606,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91759,111071,368,0.3423913043478261,299,Mt Baldy,33.7866,-118.2987,6.189449615403071,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91761,89041,18257,0.6412334994796517,61837,Ontario,34.0316,-117.6187,6.336861398381894,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91762,74245,19496,0.5200553959786622,62990,Ontario,34.0584,-117.6665,6.330982186437473,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91763,72997,10317,0.5347484733934283,37698,Montclair,34.0733,-117.6987,6.1111754789641,nrel_actual,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91764,71336,17131,0.4319654427645788,55311,Ontario,34.0763,-117.6254,6.339899525467373,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91765,105712,15756,0.7383219091139883,45303,Diamond Bar,34.0066,-117.8098,6.300637288441062,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91766,72692,19951,0.5091474111573354,69517,Pomona,34.0418,-117.7569,6.313434243787888,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
